No.,사업체고유번호,사업자등록번호,법인등록번호,행정구역분류부호,사업체명,대표자명,소재지_도로명_읍면,소재지_도로명_도로명,소재지_도로명_본번,소재지_도로명_부번,소재지_도로명_빌딩명,소재지_도로명_빌딩동,소재지_도로명_빌딩층,소재지_도로명_빌딩호,소재지_도로명_도로명코드,소재지_도로명_우편번호,소재지_지번_읍면동,소재지_지번_리,소재지_지번_번지,소재지_지번_호,소재지_지번_통,소재지_지번_반,소재지_지번_공단,소재지_지번_블록,소재지_지번_로트,광역,상세주소,Latitude,Longitude,좌표_위도,좌표_경도,업종대분류_임시,업종중분류_임시,전화번호_지역번호,전화번호_국번호,전화번호_일련번호,주요_16개_도/시_전화번호,TEL,HP,팩스번호,산업분류_표준산업분류대분류,산업분류_표준산업분류중분류,산업분류_표준산업분류소분류,산업분류_표준산업분류세분류,산업분류_표준산업분류세세분류,산업분류_자체업종코드,조직형태,사업체구분,종사자수_2022,종사자수_2023,종사자수_2024,설립일자_연,설립일자_월,설립일자_일,설립일자_개업일,설립일자_인허가일,홈페이지,제품_주생산품,제품_판매방식,재무2021_매출액(국내),재무2021_매출액(해외),재무2022_회계연도,재무2022_결산월,재무2022_매출액,재무2022_매출액(국내),재무2022_매출액(해외),재무2022_순이익,재무2022_자본금,재무2022_영업이익,합계2022_자산,합계2022_자본,합계2022_부채,재무2023_자본,재무2023_부채,재무2023_매출,재무2023_수출,재무2023_연구개발,재무2023_매출액(국내),재무2023_매출액(해외),대표중견기업,저작권,이메일,기업상장,특허_국내,특허_해외,회사규모,R&D조직형태,벤처기업지정,SW사업자등록,출처,수집년도,latitude,longitude
278084,,,,,(주)구일기공,김성인,,,,,,,,,,,,,,,,,,,,울산,북구 진장동 21블럭10-1롯트,35.5667408,129.3584499,,,,,,,,,0522748222,,522747223.0,,전문직별 공사업,,,42201.0,,일반,,5.0,,,1997.0,10.0,20.0,,,,가스설비 공사업 철물 공사업 건축 공사업,,,,2015.0,,1096.0,,,,,,814.0,,,,,,,,,,,,,,,,,,,,조사모집단통합자료,2022,,
278085,,1348683424.0,,,(주)국민차매매단지,최봉진,,,,,,,,,,우) 44247,,,,,,,,,,울산,북구 무룡로 64(연암동),35.5786236,129.3770051,,,,,,,,,03180257873,,322211501.0,금융 및 보험업,금융 및 보험관련 서비스업,,,66199.0,,외감,,1.0,,,2011.0,11.0,25.0,,,,중고자동차할부금융 대행,,,,2020.0,12.0,1250.0,,,-3913.0,1000.0,-945.0,58352.0,-4965.0,63317.0,,,,,,,,,,,,,,,,,,조사모집단통합자료,2022,,
275498,,,,,(주)뉴테크,박정홍,,,,,,,,,,,,,,,,,,,,울산,북구 명촌동 진장.명촌토지구획정리지구내 108블럭 4-1노트,35.5489515,129.3646721,,,,,,,,,0522886330,,522886333.0,,"의료, 정밀, 광학 기기 및 시계 제조업",,,27216.0,,일반,,8.0,,,2000.0,10.0,13.0,,,www.global-newtech.com,공장자동화설비 생산지시시스템 설비현황관리시스템 전산네트워크 생산지시시스템 제조업 이종방지시스템 제조업 생산관리시스템 제조업 네트웍시스템 제조업,,,,2020.0,,2363.0,,,,,,3654.0,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
278180,,,,,(주)대명기술,김기춘,,,,,,,,,,우) 44744,,,,,,,,,,울산,남구 신남로29번길 6-11,35.5247585,129.3134317,,,,,,,,,0522587141,,522587144.0,,전문직별 공사업,,,42202.0,,일반,,,,,2007.0,6.0,1.0,,,,"기계설비 공사,철구조물 제조,인력공급",,,,2017.0,,1671.0,,,,,,1155.0,,,,,,,,,,,,,,,,,,,,조사모집단통합자료,2022,,
273913,,,,,(주)대성실업,손덕선,,,,,,,,,,우) 44780,,,,,,,,,,울산,남구 장생포고래로197번길 11-2,35.5027501,129.3767142,,,,,,,,,0522590428,,,,창고 및 운송관련 서비스업,,,52941.0,,일반,,2.0,,,2014.0,1.0,15.0,,,,화물 상하차,,,,2016.0,,1024.0,,,,,,437.0,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
278227,,,,,(주)대하마트,이철호,,,,,,,,,,우) 44940,,,,,,,,,,울산,울주군 언양읍 남부리 82-1번지 1층,35.5628025,129.1288266,,,,,,,,,0527105777,,527105778.0,,소매업; 자동차 제외,,,47121.0,,일반,,46.0,,,1999.0,11.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,조사모집단통합자료,2022,,
278256,,8938101981.0,,,(주)덕양가스,이치윤,,,,,,,,,,,,,,,,,,,,울산,북구 농공단지2길 (달천동),35.6372656,129.3162815,,,,,,,,,0522828100,,522829100.0,제조업,화학 물질 및 화학제품 제조업; 의약품 제외,,,20121.0,,외감,,137.0,,,2020.0,11.0,3.0,,,,,,,,2020.0,,9811.0,,,266.0,400.0,368.0,31444.0,11177.0,20267.0,,,,,,,,,,,,,,,,,,조사모집단통합자료,2022,,
273960,,,,,(주)동녘,김승우,,,,,,,,,,우) 44686,,,,,,,,,,울산,"남구 월평로171번길 26, 106-1호",35.5473995,129.3232155,,,,,,,,,0522660800,,529354988.0,,부동산업,,,68221.0,,일반,,5.0,,,2010.0,12.0,17.0,,,www.dongnyok.co.kr/,"주거용,비주거용 부동산 분양대행,개발,공급",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
278339,,,,,(주)디엠테크윈,임채현,,,,,,,,,,우) 44712,,,,,,,,,,울산,"남구 돋질로408번길 10, 1.2동",35.5419251,129.3490831,,,,,,,,,0522821461,,522821460.0,,도매 및 상품 중개업,,,46595.0,,일반,,3.0,,,2015.0,12.0,10.0,,,,"전기통신자재(특수케이블) 도소매,배전,분전 제조,부동산 임대",,,,,,,,,,,,884.0,,,,,,,,,,,,,,,,,,,,조사모집단통합자료,2022,,
278359,,,,,(주)리테크,이원수,,,,,,,,,,우) 44252,,,,,,,,,,울산,"북구 산성로 40, 905-1호",35.5677644,129.3682541,,,,,,,,,0522853760,,522853761.0,,기타 운송장비 제조업,,,31112.0,,일반,,1.0,,,2012.0,3.0,15.0,,,,합성수지선 건조,,,,2015.0,,1858.0,,,,,,,,,,,,,,,,,,,,,,,,,,조사모집단통합자료,2022,,
278363,,,,,(주)마바산업,구효정,,,,,,,,,,우) 44252,,,,,,,,,,울산,"북구 산성로 40, 907-1호",35.5677644,129.3682541,,,,,,,,,0522882133,,522882136.0,,고무 및 플라스틱제품 제조업,,,22292.0,,일반,,42.0,,,2015.0,1.0,22.0,,,MABADESIGN.CO.KR,"자동차용데칼(접착용필름),차체,특장차 제조,도매,무역,중개,부동산 임대,전문디자인",,,,2020.0,,6840.0,,,,,,8038.0,,,,,,,,,,,,,,,,,,,,조사모집단통합자료,2022,,
278534,,,,,(주)서영하우징,권오경,,,,,,,,,,우) 44250,,,,,,,,,,울산,북구 진장18길 1 외 1필지 (진장동),35.5653889,129.3548552,,,,,,,,,0522251000,,522681107.0,,도매 및 상품 중개업,,,46699.0,,일반,,8.0,,,2004.0,8.0,3.0,,,www.seo-young.net,바닥재 外 내장재 바닥재 등 건축자재 목재류 바닥재 등 건축자재 내장재 석고보드 목재류 건축자재 판매 및 제조업 건축자재 도소매,,,,2016.0,,3326.0,,,,,,2410.0,,,,,,,,,,,,,,,,,,,,조사모집단통합자료,2022,,
